ano;cancer;territorio;internacoes;obitos;valor_total;dias_internacao_total;dias_internacao_media;idade_media
2013;Mama;Rio Claro;34;2;60565.37;64.0;1.88;55.03
2014;Mama;Rio Claro;36;3;55980.12;110.0;3.06;57.83
2015;Mama;Rio Claro;40;4;72401.23;113.0;2.83;58.95
2016;Mama;Rio Claro;44;2;117514.08;100.0;2.27;52.45
2017;Mama;Rio Claro;55;2;145062.39;86.0;1.56;55.58
2018;Mama;Rio Claro;24;0;54579.79;54.0;2.25;56.88
2019;Mama;Rio Claro;55;4;132237.41;164.0;2.98;59.44
2020;Mama;Rio Claro;37;4;76334.35;75.0;2.03;53.27
2021;Mama;Rio Claro;70;4;148264.44;146.0;2.09;55.56
2022;Mama;Rio Claro;62;4;130982.68;144.0;2.32;58.47
2023;Mama;Rio Claro;67;2;175562.14;90.0;1.34;56.49
2024;Mama;Rio Claro;53;7;114217.59;131.0;2.47;60.04
2025;Mama;Rio Claro;93;4;237210.73;155.0;1.67;57.76
2013;Mama;São Paulo;11296;976;19875312.55;43023.0;3.81;55.66
2014;Mama;São Paulo;11381;1032;21677094.82;42129.0;3.7;55.94
2015;Mama;São Paulo;9885;839;18999922.55;34916.0;3.53;56.02
2016;Mama;São Paulo;11311;1040;21975124.32;39700.0;3.51;55.65
2017;Mama;São Paulo;14159;1269;27487990.51;51022.0;3.6;55.95
2018;Mama;São Paulo;8174;750;15944357.46;29106.0;3.56;55.82
2019;Mama;São Paulo;10489;912;20556248.71;34360.0;3.28;56.21
2020;Mama;São Paulo;10791;998;22248764.84;35202.0;3.26;55.87
2021;Mama;São Paulo;15261;1352;33607255.15;48814.0;3.2;55.97
2022;Mama;São Paulo;15568;1295;34208811.11;49836.0;3.2;56.21
2023;Mama;São Paulo;19730;1491;45320058.04;58971.0;2.99;56.5
2024;Mama;São Paulo;15265;1066;41751243.24;44244.0;2.9;56.64
2025;Mama;São Paulo;23786;1658;61800029.72;69685.0;2.93;56.78
2013;Colo do útero;Rio Claro;3;0;2656.99;16.0;5.33;63.67
2014;Colo do útero;Rio Claro;8;0;15551.89;30.0;3.75;43.25
2015;Colo do útero;Rio Claro;6;0;13219.07;18.0;3.0;43.5
2016;Colo do útero;Rio Claro;6;0;13589.57;6.0;1.0;44.33
2017;Colo do útero;Rio Claro;4;1;5817.73;24.0;6.0;47.5
2018;Colo do útero;Rio Claro;2;0;1372.23;6.0;3.0;55.0
2019;Colo do útero;Rio Claro;8;1;15072.75;33.0;4.12;61.62
2020;Colo do útero;Rio Claro;16;3;32092.03;60.0;3.75;48.69
2021;Colo do útero;Rio Claro;8;3;5320.46;17.0;2.12;58.12
2022;Colo do útero;Rio Claro;8;0;18068.28;41.0;5.12;43.62
2023;Colo do útero;Rio Claro;10;2;19118.22;51.0;5.1;55.2
2024;Colo do útero;Rio Claro;6;0;20253.3;10.0;1.67;47.83
2025;Colo do útero;Rio Claro;28;6;37536.72;109.0;3.89;49.11
2013;Colo do útero;São Paulo;3026;309;4296308.42;16427.0;5.43;49.93
2014;Colo do útero;São Paulo;2902;294;4301419.0;15460.0;5.33;50.23
2015;Colo do útero;São Paulo;2325;244;3388278.83;12790.0;5.5;50.13
2016;Colo do útero;São Paulo;2515;305;3767128.04;14402.0;5.73;49.49
2017;Colo do útero;São Paulo;3266;416;5239911.57;19432.0;5.95;49.18
2018;Colo do útero;São Paulo;1968;226;2936320.23;11193.0;5.69;49.08
2019;Colo do útero;São Paulo;2530;268;3969997.47;13127.0;5.19;49.09
2020;Colo do útero;São Paulo;2612;318;4478110.06;14067.0;5.39;49.02
2021;Colo do útero;São Paulo;3719;448;6471139.33;20456.0;5.5;49.19
2022;Colo do útero;São Paulo;3948;401;7218406.69;21203.0;5.37;48.54
2023;Colo do útero;São Paulo;4738;448;9164118.0;24341.0;5.14;48.41
2024;Colo do útero;São Paulo;3657;328;7634412.93;18436.0;5.04;48.67
2025;Colo do útero;São Paulo;5330;466;11361839.04;25118.0;4.71;48.91
2013;Colorretal;Rio Claro;17;0;76961.95;104.0;6.12;67.76
2014;Colorretal;Rio Claro;27;7;100158.11;163.0;6.04;64.33
2015;Colorretal;Rio Claro;21;3;68396.43;171.0;8.14;62.62
2016;Colorretal;Rio Claro;17;1;79192.49;109.0;6.41;55.88
2017;Colorretal;Rio Claro;25;2;84769.15;147.0;5.88;59.44
