cancer;territorio;arquivo_origem;registros;formato;periodo;observacao
Mama;Rio Claro;cancer_mama_mulheres_rio_claro_2013_2025(4).csv;670;CSV;2013-2025;Base selecionada
Mama;São Paulo;cancer_mama_mulheres_sp_2013_2025(5).csv;177096;CSV;2013-2025;Base selecionada
Colo do útero;Rio Claro;cancer_colo_utero_mulheres_rio_claro_2013_2025.csv;113;CSV;2013-2025;Base selecionada
Colo do útero;São Paulo;cancer_colo_utero_mulheres_sp_2013_2025.csv;42536;CSV;2013-2025;Base selecionada
Colorretal;Rio Claro;cancer_colorretal_mulheres_rio_claro_2013_2025(2).csv;380;CSV;2013-2025;Base selecionada
Colorretal;São Paulo;cancer_colorretal_mulheres_sp_2013_2025_corrigido.csv;91341;CSV;2013-2025;Versão corrigida: somente municípios de SP
Ovário;Rio Claro;cancer_ovario_mulheres_rio_claro_2013_2025(1).csv;129;CSV;2013-2025;Base selecionada
Ovário;São Paulo;cancer_ovario_mulheres_sp_2013_2025.csv;27383;CSV;2013-2025;Base selecionada
Pele não melanoma;Rio Claro;cancer_pele_nao_melanoma_mulheres_rio_claro_2013_2025.csv;236;CSV;2013-2025;Base selecionada
Pele não melanoma;São Paulo;cancer_pele_nao_melanoma_mulheres_sp_2013_2025(1).csv;57567;CSV;2013-2025;Base selecionada
Pulmão;Rio Claro;cancer_pulmao_mulheres_rio_claro_2013_2025.csv;109;CSV;2013-2025;Base selecionada
Pulmão;São Paulo;cancer_pulmao_mulheres_sp_2013_2025.csv;27582;CSV;2013-2025;Base selecionada
Tireoide;Rio Claro;cancer_tireoide_mulheres_rio_claro_2013_2025.csv;31;CSV;2013-2025;10 anos com registros; anos sem registros permanecem na série analítica como zero
Tireoide;São Paulo;cancer_tireoide_mulheres_sp_2013_2025.csv;22844;CSV;2013-2025;Base selecionada
